AssetID,AssetType,CommissionYear
A1000,Sensor,1990
A1001,Pump,2006
A1002,Generator,2019
A1003,Valve,2022
A1004,Valve,1992
A1005,Pump,2015
A1006,Sensor,2012
A1007,Valve,2017
A1008,Pump,2009
A1009,Valve,1980
A1010,Sensor,2001
A1011,Generator,2010
A1012,Valve,2022
A1013,Pump,2005
A1014,Generator,1986
A1015,Generator,1992
A1016,Sensor,2003
A1017,Sensor,2008
A1018,Generator,2006
A1019,Valve,1985
A1020,Sensor,1999
A1021,Pump,1991
A1022,Generator,1998
A1023,Generator,1986
A1024,Sensor,1988
A1025,Sensor,2011
A1026,Pump,1999
A1027,Sensor,2007
A1028,Valve,2005
A1029,Sensor,2004
A1030,Sensor,1987
A1031,Valve,2012
A1032,Pump,2013
A1033,Sensor,2004
A1034,Valve,1986
A1035,Sensor,2009
A1036,Generator,2021
A1037,Sensor,2013
A1038,Pump,1980
A1039,Sensor,2018
A1040,Pump,2013
A1041,Valve,1999
A1042,Generator,1997
A1043,Pump,1990
A1044,Pump,1982
A1045,Sensor,2006
A1046,Valve,1991
A1047,Pump,2009
A1048,Pump,2003
A1049,Pump,2010
A1050,Sensor,2021
A1051,Valve,1992
A1052,Pump,2011
A1053,Pump,2005
A1054,Generator,1988
A1055,Valve,2020
A1056,Generator,2001
A1057,Pump,2014
A1058,Pump,2007
A1059,Generator,2022
A1060,Valve,2011
A1061,Sensor,1990
A1062,Generator,2011
A1063,Valve,2022
A1064,Generator,2003
A1065,Valve,1985
A1066,Pump,2020
A1067,Pump,1992
A1068,Generator,1981
A1069,Sensor,2014
A1070,Valve,1993
A1071,Sensor,2022
A1072,Sensor,2009
A1073,Generator,1982
A1074,Valve,1990
A1075,Valve,1996
A1076,Sensor,2017
A1077,Sensor,1986
A1078,Generator,1995
A1079,Valve,1993
A1080,Pump,1997
A1081,Valve,1989
A1082,Pump,1985
A1083,Generator,2012
A1084,Pump,1998
A1085,Pump,2012
A1086,Generator,1980
A1087,Generator,1987
A1088,Sensor,1982
A1089,Generator,2011
A1090,Sensor,2015
A1091,Generator,1982
A1092,Sensor,1980
A1093,Valve,2010
A1094,Sensor,2011
A1095,Pump,1982
A1096,Valve,1985
A1097,Valve,1994
A1098,Sensor,1982
A1099,Valve,2018
A1100,Pump,2016
A1101,Pump,1998
A1102,Pump,2005
A1103,Pump,2014
A1104,Valve,2013
A1105,Pump,2008
