WorkOrderID,AssetID,Plant,Vendor,Department,Priority,Status,Problem,RootCause,Reported,Resolved,BudgetGBP,ActualGBP,Variance,DowntimeHours,LostMWh,Risk,Severity,Compliance,AuditScore,Inspector,AssetAge,ReactorType,InventoryPart,InventoryLevel,ReorderPoint,ProcurementDelay,MaintenanceType,LabourHours,Technicians,RadiationZone,DosemSv,Regulation,FineGBP,ContractValue,PaymentStatus,ForecastCost,FailureCount,InspectionFreqDays,Comments
WO00000,A1035,Diablo Canyon,Vendor_23,Finance,P5,Cancelled,Inspection Overdue,Design,2025-08-25,2025-09-21,108964,84767,-24197,81.0,613.1,31,Low,compliant,45.0,EMP394,12,BWR,P1321,291,95,16,Emergency,8.7,5,B,12.48,CNSC,0,284687,Paid,129708,11,90,N/A
WO00001,A1009,Bruce A,Vendor_26,Engineering,P3,In Progress,Valve Leak,Unknown,2025-02-01,,5490,48089,42599,32.2,157.2,21,High,compliant,,EMP884,42,PHWR,P1464,93,102,-2,Preventive,3.4,8,C,3.17,NRC,0,936763,Paid,22094,1,90,await docs
WO00002,A1296,Bruce A,Vendor_12,Engineering,P1,Open,Valve Leak,Unknown,18/06/2023,2023-08-14,398865,388339,-10526,17.9,175.2,84,High,Non-Compliant,78.0,EMP202,39,BWR,P1381,6,82,36,Emergency,47.5,6,D,9.25,CNSC,0,328285,Pending,397859,5,90,urgent
WO00003,A1144,Diablo Canyon,Vendor_29,Finance,P3,Cancelled,Sensor Fault,Unknown,10/04/2024,2024-05-05,156596,136777,-19819,30.8,109.2,31,High,Pending,,EMP177,16,SMR,P1192,470,48,16,Emergency,57.0,2,A,4.09,CNSC,0,538888,Overdue,150852,12,365,await docs
WO00004,A1273,Heysham 1,Vendor_29,Maint,P5,In Progress,Calibration Drift,Ageing,2023-10-24,2023-12-12,464250,442480,-21770,36.0,380.8,93,High,compliant,96.0,EMP337,44,SMR,P1025,179,107,50,Preventive,65.5,2,A,0.51,NRC,44716,17099,Pending,463311,8,365,repeat issue 
WO00005,A1286,Sizewell B,Vendor_7,Maint,P4,Open,Valve Leak,Design,19/09/2023,2023-10-08,211915,297787,85872,90.9,277.1,16,High,Non-Compliant,,EMP820,43,AGR,P1217,24,83,58,Corrective,26.1,4,D,2.04,NRC,0,683736,Paid,225606,8,365,
WO00006,A1052,Diablo Canyon,Vendor_19,Maint,P4,Open,Inventory Shortage,Unknown,2022-07-09,2022-09-07,150176,239347,89171,5.0,357.4,10,Medium,Non-Compliant,,EMP674,8,PWR,P1295,108,111,49,Emergency,19.2,2,C,1.51,CNSC,0,904267,Pending,155877,9,180,repeat issue 
WO00007,A1014,Sizewell B,Vendor_23,Maint,P1,Cancelled,Inspection Overdue,Vendor Delay,2022-01-12,,286644,296156,9512,84.2,384.9,86,Critical,Non-Compliant,97.0,EMP221,31,BWR,P1468,161,98,51,Corrective,64.7,2,C,3.83,CNSC,73956,448039,Paid,283219,5,365,urgent
WO00008,A1076,Bruce A,Vendor_21,Procurement,P3,Closed,Inventory Shortage,Unknown,2024-07-24,2024-09-01,415963,392686,-23277,8.4,125.9,40,High,Compliant,44.0,EMP808,13,AGR,P1051,168,77,8,Predictive,54.5,3,A,7.22,STUK,0,588660,Overdue,398089,0,180,repeat issue 
WO00009,A1141,Bruce A,Vendor_13,Safety,P1,In Progress,Inventory Shortage,Unknown,22/09/2023,2023-10-21,371810,388498,16688,60.0,218.5,84,High,Non-Compliant,,EMP439,32,PHWR,P1378,31,107,7,Emergency,18.7,2,C,8.7,NRC,0,841846,Overdue,384740,12,180,urgent
